Tx,Px,Hx,D,Ty,Py,Hy
30.0,1200.0,65,2.137755832643195,20.748368125461592,1015.4455308854693,39.09548246637444
30.0,1200.0,65,2.23606797749979,20.624074185687057,1014.8201929873013,38.35074902607524
30.0,1200.0,65,2.3345235059857505,20.517224948117114,1014.3586615452512,37.64913219357673
30.0,1200.0,65,2.433105012119288,20.426023648013295,1014.0227807700895,36.990086661050846
30.0,1200.0,65,2.5317977802344327,20.348728735947056,1013.7817466805607,36.372839277475826
30.0,1200.0,65,2.6305892875931813,20.28368118751752,1013.61118120107,35.79641617761118
30.0,1200.0,65,2.7294688127912363,20.229324974378386,1013.4921581032792,35.25966888977078
30.0,1200.0,65,2.8284271247461903,20.18422125454099,1013.410254034449,34.761299483995025
30.0,1200.0,65,2.9274562336608896,20.147056952246274,1013.3546739282277,34.29988474268623
30.0,1200.0,65,3.026549190084311,20.11664847294473,1013.3174795265651,33.87389928790807
30.0,1200.0,65,3.125699921617557,20.09194133613956,1013.2929333419924,33.48173757427276
30.0,1200.0,65,3.22490309931942,20.072006510449047,1013.27695830275,33.12173464722303
30.0,1200.0,65,3.3241540277189325,20.05603420592495,1013.2667052261421,32.79218556889974
30.0,1200.0,65,3.423448553724738,20.043325824474458,1013.2602155473091,32.49136342421267
30.0,1200.0,65,3.5227829907617076,20.033284696807055,1013.2561646521407,32.21753583557499
30.0,1200.0,65,3.622154055254967,20.02540615026255,1013.2536709798356,31.968979933997957
30.0,1200.0,65,3.721558813185679,20.019267362270348,1013.2521571053159,31.743995755287997
30.0,1200.0,65,3.82099463490856,20.014517364319968,1013.2512507388328,31.540918051702857
30.0,1200.0,65,3.920459156782532,20.010867475460866,1013.2507155803356,31.358126530635754
30.0,1200.0,65,4.019950248448356,20.008082365689965,1013.25040395937,31.19405455195734
30.0,1200.0,65,4.119465984809197,20.005971880269364,1013.2502250069946,31.04719633399099
30.0,1200.0,65,4.219004621945797,20.004383697222377,1013.2501236588938,30.91611273432295
30.0,1200.0,65,4.318564576337836,20.003196842339797,1013.2500670529793,30.79943568548672
30.0,1200.0,65,4.418144406874904,20.00231604868564,1013.2500358729384,30.69587137686013
30.0,1200.0,65,4.517742799230607,20.00166692002987,1013.2500189349913,30.604202282823906
30.0,1200.0,65,4.6173585522460785,20.001191838735636,1013.2500098606612,30.523288143386996
30.0,1200.0,65,4.7169905660283025,20.000846547090823,1013.2500050662139,30.45206600719169
30.0,1200.0,65,4.8166378315169185,20.000597325538976,1013.2500025679803,30.389549448232476
